para_id,program_id,name,section,start_line,end_line,complexity_score,has_perform,has_goto,has_call,has_stop_run,is_entry_point,is_terminal,is_dead_code,pseudocode_preview
BCHCTL00::0000-MAIN,BCHCTL00,0000-MAIN,,60,82,9,False,False,False,False,True,True,False,-- Paragraph 0000-MAIN: Core business logic EVALUATE (TRUE) CALL 1000-process-initialize CALL 2000-check-prerequisites CALL 3000-update-status CALL 4000-process-terminate CALL 9000-error-routine SET return-code = ls-return-code RETURN to caller
BCHCTL00::1000-PROCESS-INITIALIZE,BCHCTL00,1000-PROCESS-INITIALIZE,,83,89,1,False,False,False,False,False,False,False,-- Paragraph 1000-PROCESS-INITIALIZE: Initialisation and setup CALL 1100-open-files CALL 1200-read-control-record CALL 1300-validate-process CALL 1400-update-start-status
BCHCTL00::2000-CHECK-PREREQUISITES,BCHCTL00,2000-CHECK-PREREQUISITES,,90,99,3,False,False,False,False,False,False,False,-- Paragraph 2000-CHECK-PREREQUISITES: Core business logic CALL 2100-read-control-record CALL 2200-check-dependencies IF PREREQS-SATISFIED THEN SET ls-return-code = bct-rc-success SET ls-return-code = bct-rc-warning
BCHCTL00::3000-UPDATE-STATUS,BCHCTL00,3000-UPDATE-STATUS,,100,105,2,False,False,False,False,False,False,False,-- Paragraph 3000-UPDATE-STATUS: Core business logic CALL 3100-read-control-record CALL 3200-update-process-status CALL 3300-write-control-record
BCHCTL00::4000-PROCESS-TERMINATE,BCHCTL00,4000-PROCESS-TERMINATE,,106,110,0,False,False,False,False,False,False,False,-- Paragraph 4000-PROCESS-TERMINATE: Main processing logic CALL 4100-update-completion CALL 4200-close-files
BCHCTL00::9000-ERROR-ROUTINE,BCHCTL00,9000-ERROR-ROUTINE,,111,127,3,False,False,False,False,False,False,False,-- Paragraph 9000-ERROR-ROUTINE: Error handling SET err-program = bchctl00 SET ls-return-code = bct-rc-error CALL ERRPROC
CKPRST::PROC-COMMIT-CHECKPOINT,CKPRST,PROC-COMMIT-CHECKPOINT,,51,54,0,False,False,False,False,False,False,False,-- Paragraph PROC-COMMIT-CHECKPOINT: Core business logic -- [paragraph logic]
CKPRST::PROC-INIT,CKPRST,PROC-INIT,,43,46,0,False,False,False,False,False,False,False,-- Paragraph PROC-INIT: Initialisation and setup -- [paragraph logic]
CKPRST::PROC-RESTART,CKPRST,PROC-RESTART,,55,57,0,False,False,False,False,False,False,False,-- Paragraph PROC-RESTART: Core business logic -- [paragraph logic]
CKPRST::PROC-TAKE-CHECKPOINT,CKPRST,PROC-TAKE-CHECKPOINT,,47,50,0,False,False,False,False,False,False,False,-- Paragraph PROC-TAKE-CHECKPOINT: Core business logic -- [paragraph logic]
CKPRST::RETURN-STATUS,CKPRST,RETURN-STATUS,,27,42,8,False,False,False,False,True,True,False,-- Paragraph RETURN-STATUS: Core business logic EVALUATE (TRUE) CALL proc-init CALL proc-take-checkpoint CALL proc-commit-checkpoint CALL proc-restart RETURN to caller
HISTLD00::0000-MAIN,HISTLD00,0000-MAIN,,67,79,0,False,False,False,False,True,True,False,-- Paragraph 0000-MAIN: Core business logic CALL 1000-initialize CALL 2000-process CALL 3000-terminate SET return-code = ws-error-count RETURN to caller
HISTLD00::1000-INITIALIZE,HISTLD00,1000-INITIALIZE,,80,85,0,False,False,False,False,False,False,False,-- Paragraph 1000-INITIALIZE: Initialisation and setup CALL 1100-open-files CALL 1200-connect-db2 CALL 1300-init-checkpoints
HISTLD00::1100-OPEN-FILES,HISTLD00,1100-OPEN-FILES,,102,115,2,False,False,False,False,False,False,False,-- Paragraph 1100-OPEN-FILES: Open files and resources IF WS-TH-STATUS NOT = '00' THEN CALL 9000-error-routine IF WS-BCT-STATUS NOT = '00' THEN CALL 9000-error-routine
HISTLD00::1200-CONNECT-DB2,HISTLD00,1200-CONNECT-DB2,,116,119,0,False,False,False,False,False,False,False,-- Paragraph 1200-CONNECT-DB2: Core business logic CALL connect-to-db2
