program_id,path,subtype,size_bytes,total_lines,paragraph_count,section_count,has_unstructured_flow,has_alter,dead_code_candidates,parse_status,rule_count,complexity_label,program_narrative
BCHCTL00,src/programs/batch/BCHCTL00.cbl,batch,3200,127,6,0,False,False,0,success,2,Low,"BCHCTL00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
CKPRST,src/programs/batch/CKPRST.cbl,batch,2800,57,5,0,False,False,0,success,1,Low,"CKPRST is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
HISTLD00,src/programs/batch/HISTLD00.cbl,batch,3500,233,16,0,False,False,0,success,5,Low,"HISTLD00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
POSUPDT,src/programs/batch/POSUPDT.cbl,batch,0,1,0,0,False,False,0,success,0,Unknown,POSUPDT is a COBOL program.
PRCSEQ00,src/programs/batch/PRCSEQ00.cbl,batch,3400,345,19,0,False,False,0,success,15,Low,"PRCSEQ00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
RCVPRC00,src/programs/batch/RCVPRC00.cbl,batch,3100,302,18,0,False,False,0,success,9,Low,"RCVPRC00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
RPTAUD00,src/programs/batch/RPTAUD00.cbl,batch,4200,147,11,0,False,False,1,success,3,Low,"RPTAUD00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
RPTPOS00,src/programs/batch/RPTPOS00.cbl,batch,4100,160,13,0,False,False,2,success,3,Low,"RPTPOS00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
RPTSTA00,src/programs/batch/RPTSTA00.cbl,batch,3900,185,15,0,False,False,3,success,3,Low,"RPTSTA00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
RTNANA00,src/programs/batch/RTNANA00.cbl,batch,2600,210,14,0,False,False,11,success,2,Low,"RTNANA00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
RTNCDE00,src/programs/batch/RTNCDE00.cbl,batch,2900,141,12,0,False,False,11,success,3,Low,"RTNCDE00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
AUDPROC,src/programs/common/AUDPROC.cbl,unknown,2400,96,4,0,False,False,0,success,1,Low,"AUDPROC is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
DB2CMT,src/programs/common/DB2CMT.cbl,unknown,2700,170,10,0,False,False,0,success,3,Low,"DB2CMT is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
DB2CONN,src/programs/common/DB2CONN.cbl,unknown,2600,154,6,0,False,False,0,success,5,Medium,"DB2CONN is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
DB2ERR,src/programs/common/DB2ERR.cbl,unknown,2800,200,7,0,False,False,0,success,4,Medium,"DB2ERR is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
DB2STAT,src/programs/common/DB2STAT.cbl,unknown,3100,228,9,0,False,False,0,success,3,Low,"DB2STAT is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
ERRPROC,src/programs/common/ERRPROC.cbl,unknown,2500,107,6,0,False,False,0,success,1,Low,"ERRPROC is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
CURSMGR,src/programs/online/CURSMGR.cbl,online,3000,91,4,0,False,False,3,success,2,Low,"CURSMGR is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
DB2ONLN,src/programs/online/DB2ONLN.cbl,online,2800,120,11,0,False,False,8,success,2,Low,"DB2ONLN is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
DB2RECV,src/programs/online/DB2RECV.cbl,online,2900,145,14,0,False,False,11,success,5,Low,"DB2RECV is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
ERRHNDL,src/programs/online/ERRHNDL.cbl,online,2600,118,9,0,False,False,8,success,3,Low,"ERRHNDL is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
INQHIST,src/programs/online/INQHIST.cbl,online,2700,193,18,0,False,False,14,success,3,Low,"INQHIST is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
INQONLN,src/programs/online/INQONLN.cbl,online,3200,171,21,0,False,False,6,success,3,Low,"INQONLN is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
INQPORT,src/programs/online/INQPORT.cbl,online,2900,110,13,0,False,False,12,success,1,Low,"INQPORT is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
SECMGR,src/programs/online/SECMGR.cbl,online,2800,135,10,0,False,False,9,success,5,Low,"SECMGR is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
PORTADD,src/programs/portfolio/PORTADD.cbl,unknown,3300,148,5,0,False,False,0,success,3,Low,"PORTADD is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
PORTDEL,src/programs/portfolio/PORTDEL.cbl,unknown,3100,194,7,0,False,False,0,success,3,Medium,"PORTDEL is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
PORTMSTR,src/programs/portfolio/PORTMSTR.cbl,unknown,4000,288,11,0,False,False,1,success,9,Medium,"PORTMSTR is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
PORTREAD,src/programs/portfolio/PORTREAD.cbl,unknown,2800,111,5,0,False,False,0,success,1,Low,"PORTREAD is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
PORTTEST,src/programs/portfolio/PORTTEST.cbl,unknown,2600,119,8,0,False,False,0,success,1,Low,"PORTTEST is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
PORTTRAN,src/programs/portfolio/PORTTRAN.cbl,unknown,3400,317,16,0,False,False,1,success,10,Low,"PORTTRAN is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
PORTUPDT,src/programs/portfolio/PORTUPDT.cbl,unknown,3200,160,6,0,False,False,0,success,2,Low,"PORTUPDT is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
PORTVALD,src/programs/portfolio/PORTVALD.cbl,unknown,2400,120,5,0,False,False,0,success,5,Low,"PORTVALD is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
TSTGEN00,src/programs/test/TSTGEN00.cbl,batch,3200,216,17,0,False,False,4,success,6,Low,"TSTGEN00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
TSTVAL00,src/programs/test/TSTVAL00.cbl,batch,2800,225,11,0,False,False,1,success,5,Low,"TSTVAL00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
UTLMNT00,src/programs/utility/UTLMNT00.cbl,batch,2900,182,14,0,False,False,2,success,5,Low,"UTLMNT00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
UTLMON00,src/programs/utility/UTLMON00.cbl,batch,3100,221,14,0,False,False,2,success,5,Low,"UTLMON00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
UTLVAL00,src/programs/utility/UTLVAL00.cbl,batch,3000,190,14,0,False,False,2,success,5,Low,"UTLVAL00 is a COBOL program that orchestrates business processes. It processes input data through multiple stages, performing validation, transformation, and output operations. The program includes error handling and data integrity checks."
