rule_id,name,rule_set_id,category,confidence,requires_sme_review,sme_review_note,description,condition_text,pattern,is_duplicated,primary_program,primary_paragraph,primary_line
RULE-HANDLE-WS-FILE-STATUS-IS-00,Handle WS FILE STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS FILE STATUS is 00. When WS-FILE-STATUS NOT = '00', the system applies this rule. Implemented in program AUDPROC, paragraph 1000-INITIALIZE.",WS-FILE-STATUS NOT = '00',FIELD_VALUE_COMPARE,True,AUDPROC,1000-INITIALIZE,
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,Validate value has required value,VALIDATION,VALIDATION,medium,True,,"Validate value has required value. When , the system applies this rule. Implemented in program BCHCTL00, paragraph 0000-MAIN.",,FIELD_VALUE_COMPARE,True,BCHCTL00,0000-MAIN,
RULE-VALIDATE-PREREQS-SATISFIED-HAS-REQUIRED-VALUE,Validate PREREQS SATISFIED has required value,VALIDATION,VALIDATION,medium,True,,"Validate PREREQS SATISFIED has required value. When PREREQS-SATISFIED, the system applies this rule. Implemented in program BCHCTL00, paragraph 2000-CHECK-PREREQUISITES.",PREREQS-SATISFIED,FIELD_VALUE_COMPARE,False,BCHCTL00,2000-CHECK-PREREQUISITES,
RULE-VALIDATE-USE-ARRAY-FETCH-HAS-REQUIRED-VALUE,Validate USE ARRAY FETCH has required value,VALIDATION,VALIDATION,medium,True,,"Validate USE ARRAY FETCH has required value. When USE-ARRAY-FETCH, the system applies this rule. Implemented in program CURSMGR, paragraph P100-DECLARE-CURSOR.",USE-ARRAY-FETCH,FIELD_VALUE_COMPARE,False,CURSMGR,P100-DECLARE-CURSOR,
RULE-HANDLE-SQLCODE-EQUALS-SPECIFIED-VALUE,Handle SQLCODE equals specified value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle SQLCODE equals specified value. When SQLCODE NOT = 0, the system applies this rule. Implemented in program CURSMGR, paragraph END-EXEC.",SQLCODE NOT = 0,FIELD_VALUE_COMPARE,True,CURSMGR,END-EXEC,
RULE-VALIDATE-LS-RECORDS-PROC-EQUALS-SPECIFIED-VALUE,Validate LS RECORDS PROC equals specified value,VALIDATION,VALIDATION,medium,True,,"Validate LS RECORDS PROC equals specified value. When LS-RECORDS-PROC >= LS-COMMIT-FREQ, the system applies this rule. Implemented in program DB2CMT, paragraph 2000-COMMIT.",LS-RECORDS-PROC >= LS-COMMIT-FREQ,FIELD_VALUE_COMPARE,False,DB2CMT,2000-COMMIT,
RULE-ENFORCE-WS-RETRY-COUNT-HAS-REQUIRED-VALUE,Enforce WS RETRY COUNT has required value,LIMIT_CHECK,LIMIT_CHECK,medium,True,,"Enforce WS RETRY COUNT has required value. When WS-RETRY-COUNT < WS-MAX-RETRIES, the system applies this rule. Implemented in program DB2CONN, paragraph 1000-CONNECT.",WS-RETRY-COUNT < WS-MAX-RETRIES,FIELD_VALUE_COMPARE,False,DB2CONN,1000-CONNECT,
RULE-HANDLE-VALUE-HAS-REQUIRED-VALUE,Handle value has required value,ERROR_HANDLING,ERROR_HANDLING,medium,True,,"Handle value has required value. When , the system applies this rule. Implemented in program DB2CONN, paragraph 1100-HANDLE-CONN-ERROR.",,FIELD_VALUE_COMPARE,True,DB2CONN,1100-HANDLE-CONN-ERROR,
RULE-VALIDATE-WS-CONNECTED-HAS-REQUIRED-VALUE,Validate WS CONNECTED has required value,VALIDATION,VALIDATION,medium,True,,"Validate WS CONNECTED has required value. When WS-CONNECTED, the system applies this rule. Implemented in program DB2CONN, paragraph 2000-DISCONNECT.",WS-CONNECTED,FIELD_VALUE_COMPARE,False,DB2CONN,2000-DISCONNECT,
RULE-HANDLE-LS-SQLCODE-HAS-REQUIRED-VALUE,Handle LS SQLCODE has required value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle LS SQLCODE has required value. When LS-SQLCODE < 0, the system applies this rule. Implemented in program DB2ERR, paragraph 1100-SET-SEVERITY.",LS-SQLCODE < 0,FIELD_VALUE_COMPARE,False,DB2ERR,1100-SET-SEVERITY,
